45 990
0 1 39
0 2 52
0 3 71
0 4 1
0 5 39
0 6 37
0 7 27
0 8 56
0 9 75
0 10 78
0 11 84
0 12 42
0 13 60
0 14 57
0 15 57
0 16 87
0 17 28
0 18 66
0 19 61
0 20 95
0 21 22
0 22 85
0 23 11
0 24 37
0 25 66
0 26 85
0 27 82
0 28 80
0 29 43
0 30 12
0 31 97
0 32 31
0 33 87
0 34 40
0 35 29
0 36 26
0 37 19
0 38 4
0 39 6
0 40 32
0 41 61
0 42 79
0 43 99
0 44 10
1 2 59
1 3 54
1 4 81
1 5 74
1 6 25
1 7 92
1 8 90
1 9 50
1 10 64
1 11 52
1 12 32
1 13 19
1 14 84
1 15 89
1 16 1
1 17 97
1 18 99
1 19 14
1 20 100
1 21 55
1 22 29
1 23 23
1 24 90
1 25 67
1 26 60
1 27 7
1 28 72
1 29 32
1 30 16
1 31 59
1 32 18
1 33 60
1 34 86
1 35 68
1 36 72
1 37 77
1 38 41
1 39 97
1 40 57
1 41 79
1 42 93
1 43 65
1 44 55
2 3 71
2 4 58
2 5 21
2 6 96
2 7 61
2 8 58
2 9 34
2 10 97
2 11 32
2 12 82
2 13 36
2 14 99
2 15 100
2 16 67
2 17 63
2 18 81
2 19 31
2 20 36
2 21 57
2 22 10
2 23 92
2 24 37
2 25 31
2 26 35
2 27 43
2 28 41
2 29 70
2 30 11
2 31 18
2 32 20
2 33 30
2 34 50
2 35 89
2 36 20
2 37 91
2 38 28
2 39 9
2 40 54
2 41 53
2 42 43
2 43 70
2 44 60
3 4 54
3 5 8
3 6 27
3 7 54
3 8 50
3 9 99
3 10 75
3 11 90
3 12 3
3 13 98
3 14 74
3 15 49
3 16 62
3 17 1
3 18 46
3 19 39
3 20 97
3 21 50
3 22 54
3 23 69
3 24 96
3 25 95
3 26 70
3 27 78
3 28 29
3 29 63
3 30 29
3 31 35
3 32 56
3 33 63
3 34 4
3 35 50
3 36 44
3 37 86
3 38 87
3 39 52
3 40 93
3 41 22
3 42 60
3 43 17
3 44 80
4 5 69
4 6 4
4 7 51
4 8 76
4 9 73
4 10 85
4 11 4
4 12 11
4 13 83
4 14 55
4 15 18
4 16 60
4 17 24
4 18 7
4 19 34
4 20 49
4 21 42
4 22 28
4 23 59
4 24 42
4 25 44
4 26 98
4 27 49
4 28 36
4 29 97
4 30 54
4 31 33
4 32 11
4 33 61
4 34 3
4 35 96
4 36 70
4 37 7
4 38 45
4 39 29
4 40 84
4 41 9
4 42 100
4 43 84
4 44 6
5 6 97
5 7 4
5 8 32
5 9 26
5 10 3
5 11 80
5 12 20
5 13 31
5 14 17
5 15 61
5 16 86
5 17 15
5 18 73
5 19 28
5 20 60
5 21 90
5 22 33
5 23 99
5 24 48
5 25 22
5 26 78
5 27 78
5 28 96
5 29 92
5 30 15
5 31 100
5 32 21
5 33 40
5 34 14
5 35 75
5 36 4
5 37 40
5 38 74
5 39 87
5 40 49
5 41 51
5 42 92
5 43 26
5 44 10
6 7 76
6 8 89
6 9 81
6 10 32
6 11 14
6 12 90
6 13 99
6 14 39
6 15 88
6 16 77
6 17 16
6 18 73
6 19 6
6 20 45
6 21 69
6 22 55
6 23 85
6 24 48
6 25 9
6 26 65
6 27 83
6 28 44
6 29 2
6 30 54
6 31 63
6 32 14
6 33 56
6 34 47
6 35 82
6 36 59
6 37 91
6 38 20
6 39 56
6 40 23
6 41 94
6 42 67
6 43 84
6 44 35
7 8 79
7 9 69
7 10 100
7 11 62
7 12 60
7 13 56
7 14 94
7 15 76
7 16 35
7 17 42
7 18 32
7 19 12
7 20 36
7 21 58
7 22 32
7 23 97
7 24 60
7 25 73
7 26 79
7 27 86
7 28 49
7 29 44
7 30 4
7 31 64
7 32 42
7 33 24
7 34 63
7 35 28
7 36 46
7 37 34
7 38 44
7 39 36
7 40 77
7 41 90
7 42 36
7 43 72
7 44 2
8 9 67
8 10 25
8 11 11
8 12 31
8 13 93
8 14 53
8 15 63
8 16 72
8 17 98
8 18 31
8 19 89
8 20 61
8 21 83
8 22 92
8 23 63
8 24 58
8 25 3
8 26 12
8 27 38
8 28 29
8 29 52
8 30 89
8 31 32
8 32 40
8 33 85
8 34 75
8 35 48
8 36 61
8 37 71
8 38 68
8 39 45
8 40 55
8 41 96
8 42 71
8 43 43
8 44 46
9 10 90
9 11 59
9 12 35
9 13 40
9 14 33
9 15 30
9 16 16
9 17 93
9 18 25
9 19 41
9 20 16
9 21 96
9 22 69
9 23 98
9 24 89
9 25 24
9 26 25
9 27 28
9 28 95
9 29 62
9 30 36
9 31 93
9 32 76
9 33 98
9 34 68
9 35 77
9 36 37
9 37 13
9 38 25
9 39 38
9 40 30
9 41 47
9 42 23
9 43 39
9 44 2
10 11 91
10 12 69
10 13 17
10 14 36
10 15 6
10 16 7
10 17 71
10 18 38
10 19 90
10 20 17
10 21 82
10 22 97
10 23 63
10 24 14
10 25 2
10 26 74
10 27 37
10 28 61
10 29 62
10 30 57
10 31 44
10 32 24
10 33 7
10 34 33
10 35 62
10 36 15
10 37 9
10 38 52
10 39 63
10 40 10
10 41 74
10 42 81
10 43 88
10 44 7
11 12 20
11 13 20
11 14 73
11 15 39
11 16 11
11 17 32
11 18 16
11 19 72
11 20 98
11 21 54
11 22 78
11 23 77
11 24 80
11 25 29
11 26 100
11 27 67
11 28 49
11 29 58
11 30 57
11 31 39
11 32 76
11 33 55
11 34 40
11 35 73
11 36 80
11 37 8
11 38 79
11 39 95
11 40 13
11 41 98
11 42 27
11 43 81
11 44 28
12 13 34
12 14 85
12 15 11
12 16 21
12 17 31
12 18 23
12 19 71
12 20 10
12 21 21
12 22 1
12 23 53
12 24 58
12 25 89
12 26 77
12 27 61
12 28 38
12 29 5
12 30 30
12 31 37
12 32 91
12 33 37
12 34 90
12 35 59
12 36 10
12 37 88
12 38 30
12 39 34
12 40 81
12 41 76
12 42 85
12 43 26
12 44 55
13 14 15
13 15 70
13 16 29
13 17 83
13 18 20
13 19 35
13 20 19
13 21 10
13 22 8
13 23 22
13 24 40
13 25 77
13 26 96
13 27 73
13 28 37
13 29 57
13 30 16
13 31 60
13 32 89
13 33 39
13 34 90
13 35 52
13 36 35
13 37 65
13 38 70
13 39 64
13 40 57
13 41 11
13 42 77
13 43 6
13 44 56
14 15 95
14 16 42
14 17 78
14 18 33
14 19 4
14 20 12
14 21 30
14 22 87
14 23 74
14 24 76
14 25 3
14 26 98
14 27 87
14 28 35
14 29 74
14 30 6
14 31 98
14 32 97
14 33 23
14 34 61
14 35 67
14 36 84
14 37 57
14 38 36
14 39 24
14 40 75
14 41 56
14 42 82
14 43 63
14 44 12
15 16 61
15 17 45
15 18 53
15 19 43
15 20 42
15 21 86
15 22 14
15 23 21
15 24 43
15 25 53
15 26 89
15 27 64
15 28 37
15 29 85
15 30 52
15 31 98
15 32 71
15 33 5
15 34 59
15 35 12
15 36 41
15 37 33
15 38 42
15 39 15
15 40 99
15 41 52
15 42 66
15 43 1
15 44 85
16 17 70
16 18 60
16 19 53
16 20 7
16 21 25
16 22 67
16 23 47
16 24 80
16 25 97
16 26 64
16 27 81
16 28 57
16 29 98
16 30 7
16 31 27
16 32 35
16 33 71
16 34 17
16 35 37
16 36 57
16 37 90
16 38 63
16 39 16
16 40 4
16 41 81
16 42 78
16 43 31
16 44 91
17 18 21
17 19 40
17 20 71
17 21 2
17 22 71
17 23 53
17 24 12
17 25 29
17 26 15
17 27 60
17 28 16
17 29 83
17 30 20
17 31 64
17 32 92
17 33 38
17 34 66
17 35 91
17 36 35
17 37 54
17 38 62
17 39 61
17 40 32
17 41 59
17 42 71
17 43 19
17 44 50
18 19 25
18 20 77
18 21 66
18 22 96
18 23 18
18 24 9
18 25 36
18 26 99
18 27 54
18 28 44
18 29 65
18 30 35
18 31 1
18 32 37
18 33 93
18 34 39
18 35 76
18 36 75
18 37 85
18 38 63
18 39 20
18 40 58
18 41 69
18 42 62
18 43 45
18 44 43
19 20 71
19 21 98
19 22 70
19 23 49
19 24 59
19 25 42
19 26 25
19 27 90
19 28 31
19 29 74
19 30 50
19 31 30
19 32 100
19 33 53
19 34 6
19 35 41
19 36 96
19 37 61
19 38 91
19 39 49
19 40 50
19 41 85
19 42 84
19 43 20
19 44 64
20 21 5
20 22 17
20 23 65
20 24 76
20 25 43
20 26 13
20 27 57
20 28 13
20 29 68
20 30 59
20 31 2
20 32 93
20 33 19
20 34 53
20 35 84
20 36 20
20 37 10
20 38 61
20 39 34
20 40 44
20 41 80
20 42 89
20 43 51
20 44 84
21 22 11
21 23 43
21 24 87
21 25 69
21 26 49
21 27 41
21 28 81
21 29 92
21 30 98
21 31 63
21 32 70
21 33 5
21 34 80
21 35 9
21 36 31
21 37 81
21 38 88
21 39 37
21 40 30
21 41 96
21 42 12
21 43 56
21 44 13
22 23 98
22 24 82
22 25 91
22 26 13
22 27 57
22 28 22
22 29 89
22 30 39
22 31 4
22 32 6
22 33 42
22 34 8
22 35 38
22 36 46
22 37 48
22 38 56
22 39 19
22 40 32
22 41 68
22 42 53
22 43 73
22 44 88
23 24 24
23 25 22
23 26 23
23 27 11
23 28 79
23 29 49
23 30 80
23 31 88
23 32 31
23 33 64
23 34 75
23 35 19
23 36 30
23 37 60
23 38 82
23 39 33
23 40 59
23 41 33
23 42 86
23 43 2
23 44 60
24 25 37
24 26 87
24 27 70
24 28 21
24 29 10
24 30 57
24 31 45
24 32 76
24 33 39
24 34 82
24 35 55
24 36 89
24 37 33
24 38 59
24 39 39
24 40 26
24 41 50
24 42 62
24 43 14
24 44 31
25 26 49
25 27 74
25 28 46
25 29 74
25 30 38
25 31 90
25 32 38
25 33 3
25 34 85
25 35 51
25 36 36
25 37 2
25 38 73
25 39 88
25 40 100
25 41 96
25 42 7
25 43 78
25 44 96
26 27 64
26 28 37
26 29 100
26 30 30
26 31 78
26 32 46
26 33 29
26 34 82
26 35 25
26 36 80
26 37 33
26 38 87
26 39 97
26 40 93
26 41 99
26 42 85
26 43 88
26 44 18
27 28 81
27 29 13
27 30 81
27 31 83
27 32 6
27 33 40
27 34 57
27 35 5
27 36 75
27 37 47
27 38 94
27 39 17
27 40 12
27 41 38
27 42 42
27 43 96
27 44 54
28 29 23
28 30 26
28 31 17
28 32 70
28 33 47
28 34 68
28 35 65
28 36 35
28 37 22
28 38 33
28 39 62
28 40 38
28 41 96
28 42 44
28 43 15
28 44 60
29 30 10
29 31 19
29 32 97
29 33 29
29 34 87
29 35 93
29 36 87
29 37 51
29 38 72
29 39 47
29 40 12
29 41 51
29 42 2
29 43 34
29 44 69
30 31 16
30 32 59
30 33 48
30 34 87
30 35 96
30 36 87
30 37 34
30 38 75
30 39 49
30 40 82
30 41 48
30 42 14
30 43 87
30 44 30
31 32 61
31 33 4
31 34 80
31 35 72
31 36 42
31 37 79
31 38 29
31 39 83
31 40 9
31 41 82
31 42 60
31 43 90
31 44 39
32 33 84
32 34 53
32 35 15
32 36 18
32 37 6
32 38 5
32 39 39
32 40 64
32 41 15
32 42 13
32 43 31
32 44 69
33 34 18
33 35 50
33 36 59
33 37 48
33 38 86
33 39 96
33 40 90
33 41 70
33 42 54
33 43 76
33 44 96
34 35 94
34 36 20
34 37 54
34 38 84
34 39 13
34 40 63
34 41 79
34 42 53
34 43 36
34 44 5
35 36 89
35 37 48
35 38 28
35 39 57
35 40 57
35 41 31
35 42 47
35 43 13
35 44 88
36 37 48
36 38 70
36 39 83
36 40 46
36 41 8
36 42 51
36 43 36
36 44 25
37 38 16
37 39 59
37 40 12
37 41 85
37 42 28
37 43 83
37 44 82
38 39 77
38 40 3
38 41 7
38 42 43
38 43 32
38 44 17
39 40 73
39 41 27
39 42 9
39 43 98
39 44 71
40 41 27
40 42 76
40 43 28
40 44 30
41 42 43
41 43 100
41 44 19
42 43 77
42 44 1
43 44 36
