45 175
0 4 14
0 5 18
0 17 34
0 24 15
0 29 14
0 33 96
0 38 71
0 43 20
1 5 35
1 7 37
1 17 78
1 35 27
1 37 92
2 4 44
2 16 27
2 20 88
2 21 82
2 27 34
2 38 65
3 5 63
3 6 33
3 14 7
3 15 12
3 20 82
3 25 55
3 29 36
3 32 6
3 34 1
3 37 43
3 40 99
4 6 17
4 13 82
4 14 34
4 15 21
4 20 95
4 21 57
4 32 71
4 34 91
4 38 55
4 43 72
5 6 2
5 11 15
5 18 10
5 31 89
5 35 20
5 37 70
5 39 5
6 8 48
6 14 75
6 21 71
6 24 19
6 40 56
6 41 17
6 42 6
7 9 40
7 18 47
7 24 6
7 28 46
7 36 27
7 40 88
7 43 32
8 14 86
8 15 14
8 22 46
8 25 100
8 28 72
8 36 53
8 42 80
9 12 96
9 16 20
9 17 31
10 15 21
10 16 23
10 23 53
10 24 4
10 27 23
10 28 95
10 29 43
10 33 53
10 40 86
10 44 95
11 27 32
11 32 35
12 15 21
12 19 90
12 26 14
12 34 49
12 36 5
12 41 61
13 14 29
13 16 26
13 18 59
13 21 45
13 27 40
13 30 30
13 34 29
13 41 4
13 42 85
14 15 25
14 26 52
14 35 43
14 37 36
14 42 9
15 16 99
15 17 36
15 25 45
15 30 83
15 34 66
15 36 52
15 37 87
16 29 69
16 32 43
16 35 4
16 37 15
17 24 34
17 25 23
17 29 75
17 34 34
17 44 5
18 23 14
18 27 77
18 40 56
19 23 45
19 29 94
19 34 41
19 40 56
19 42 78
20 31 66
20 33 15
20 36 50
20 42 74
20 43 25
21 27 33
21 41 6
22 23 91
22 27 56
22 38 1
23 25 67
23 39 69
23 41 88
24 38 93
25 31 95
25 42 95
26 27 86
26 31 26
26 42 47
27 37 56
27 43 9
28 33 86
28 35 43
28 37 80
29 33 41
29 34 85
29 40 16
29 41 93
30 32 39
30 35 65
30 36 40
31 32 86
31 42 53
32 38 42
33 34 52
33 38 90
34 35 38
34 41 71
34 43 17
34 44 25
35 42 54
35 44 86
36 37 49
36 39 87
39 41 96
40 44 23
41 42 79
41 43 73
